state,year,blood_type,donations
Negeri Sembilan,2015,o,7008
Negeri Sembilan,2016,a,4392
Negeri Sembilan,2016,ab,1172
Negeri Sembilan,2016,b,4923
Negeri Sembilan,2016,o,7468
Negeri Sembilan,2017,a,4160
Negeri Sembilan,2017,ab,1115
Negeri Sembilan,2017,b,4577
Negeri Sembilan,2017,o,7259
Negeri Sembilan,2018,a,4107
Negeri Sembilan,2018,ab,1041
Negeri Sembilan,2018,b,4676
Negeri Sembilan,2018,o,7152
Negeri Sembilan,2019,a,4463
Negeri Sembilan,2019,ab,1082
Negeri Sembilan,2019,b,4965
Negeri Sembilan,2019,o,7796
Negeri Sembilan,2020,a,3988
Negeri Sembilan,2020,ab,983
Negeri Sembilan,2020,b,4528
Negeri Sembilan,2020,o,6899
Negeri Sembilan,2021,a,3609
Negeri Sembilan,2021,ab,858
Negeri Sembilan,2021,b,4071
Negeri Sembilan,2021,o,6397
Negeri Sembilan,2022,a,3973
Negeri Sembilan,2022,ab,770
Negeri Sembilan,2022,b,4240
Negeri Sembilan,2022,o,6934
Negeri Sembilan,2023,a,4052
Negeri Sembilan,2023,ab,857
Negeri Sembilan,2023,b,4378
Negeri Sembilan,2023,o,7130
Pahang,2006,a,841
Pahang,2006,ab,220
Pahang,2006,b,904
Pahang,2006,o,1293
Pahang,2007,a,844
Pahang,2007,ab,236
Pahang,2007,b,887
Pahang,2007,o,1270
Pahang,2008,a,790
Pahang,2008,ab,203
Pahang,2008,b,917
Pahang,2008,o,1230
Pahang,2009,a,914
Pahang,2009,ab,244
Pahang,2009,b,953
Pahang,2009,o,1303
Pahang,2010,a,876
Pahang,2010,ab,237
Pahang,2010,b,932
Pahang,2010,o,1277
Pahang,2011,a,1950
Pahang,2011,ab,470
Pahang,2011,b,2082
Pahang,2011,o,2956
Pahang,2012,a,3180
Pahang,2012,ab,871
Pahang,2012,b,3481
Pahang,2012,o,5055
Pahang,2013,a,2891
Pahang,2013,ab,812
Pahang,2013,b,3195
Pahang,2013,o,4592
Pahang,2014,a,2836
Pahang,2014,ab,780
Pahang,2014,b,3265
Pahang,2014,o,4669
Pahang,2015,a,2937
Pahang,2015,ab,827
Pahang,2015,b,3265
Pahang,2015,o,4648
Pahang,2016,a,2707
Pahang,2016,ab,808
Pahang,2016,b,3116
Pahang,2016,o,4364
Pahang,2017,a,2506
Pahang,2017,ab,676
Pahang,2017,b,2625
Pahang,2017,o,3745
Pahang,2018,a,1799
Pahang,2018,ab,466
Pahang,2018,b,1940
Pahang,2018,o,2890
Pahang,2019,a,3872
Pahang,2019,ab,1035
Pahang,2019,b,4447
Pahang,2019,o,6456
Pahang,2020,a,5720
Pahang,2020,ab,1379
Pahang,2020,b,6270
Pahang,2020,o,8786
Pahang,2021,a,5767
Pahang,2021,ab,1440
Pahang,2021,b,6382
Pahang,2021,o,9239
Pahang,2022,a,6070
Pahang,2022,ab,1459
Pahang,2022,b,6612
Pahang,2022,o,9708
Pahang,2023,a,5801
Pahang,2023,ab,1342
Pahang,2023,b,6395
Pahang,2023,o,9263
Perak,2006,a,16
Perak,2006,ab,2
Perak,2006,b,13
Perak,2006,o,22
Perak,2007,a,20
Perak,2007,ab,4
Perak,2007,b,14
Perak,2007,o,15
Perak,2008,a,5963
Perak,2008,ab,1595
Perak,2008,b,6569
Perak,2008,o,9587
Perak,2009,a,6501
Perak,2009,ab,1719
Perak,2009,b,7187
Perak,2009,o,10685
Perak,2010,a,7058
Perak,2010,ab,1837
Perak,2010,b,7911
Perak,2010,o,11534
Perak,2011,a,8170
Perak,2011,ab,2105
Perak,2011,b,8938
Perak,2011,o,12912
Perak,2012,a,8572
Perak,2012,ab,2161
Perak,2012,b,9253
Perak,2012,o,13618
Perak,2013,a,9774
Perak,2013,ab,2475
Perak,2013,b,10639
Perak,2013,o,15627
Perak,2014,a,9645
Perak,2014,ab,2570
Perak,2014,b,10646
Perak,2014,o,15594
Perak,2015,a,10078
Perak,2015,ab,2612
Perak,2015,b,11008
Perak,2015,o,16105
Perak,2016,a,10415
Perak,2016,ab,2769
Perak,2016,b,11472
Perak,2016,o,17192
Perak,2017,a,10517
Perak,2017,ab,2781
Perak,2017,b,11532
Perak,2017,o,17145
Perak,2018,a,10748
Perak,2018,ab,2861
Perak,2018,b,12063
Perak,2018,o,18390
Perak,2019,a,10354
Perak,2019,ab,2573
Perak,2019,b,11159
Perak,2019,o,16946
Perak,2020,a,9919
Perak,2020,ab,2558
Perak,2020,b,10924
Perak,2020,o,16685
Perak,2021,a,10380
Perak,2021,ab,2590
Perak,2021,b,11602
Perak,2021,o,18578
Perak,2022,a,11525
Perak,2022,ab,2883
Perak,2022,b,12674
Perak,2022,o,19414
Perak,2023,a,11565
Perak,2023,ab,2790
Perak,2023,b,12962
Perak,2023,o,19600
Pulau Pinang,2006,a,0
Pulau Pinang,2006,ab,0
Pulau Pinang,2006,b,0
Pulau Pinang,2006,o,0
Pulau Pinang,2007,a,0
Pulau Pinang,2007,ab,0
Pulau Pinang,2007,b,0
Pulau Pinang,2007,o,0
Pulau Pinang,2008,a,0
Pulau Pinang,2008,ab,0
Pulau Pinang,2008,b,0
Pulau Pinang,2008,o,0
Pulau Pinang,2009,a,0
Pulau Pinang,2009,ab,0
Pulau Pinang,2009,b,0
Pulau Pinang,2009,o,0
Pulau Pinang,2010,a,0
Pulau Pinang,2010,ab,0
Pulau Pinang,2010,b,0
Pulau Pinang,2010,o,0
Pulau Pinang,2011,a,0
Pulau Pinang,2011,ab,0
Pulau Pinang,2011,b,0
Pulau Pinang,2011,o,0
Pulau Pinang,2012,a,0
Pulau Pinang,2012,ab,0
Pulau Pinang,2012,b,0
Pulau Pinang,2012,o,0
Pulau Pinang,2013,a,0
Pulau Pinang,2013,ab,0
Pulau Pinang,2013,b,0
Pulau Pinang,2013,o,0
Pulau Pinang,2014,a,6857
Pulau Pinang,2014,ab,1734
Pulau Pinang,2014,b,7309
Pulau Pinang,2014,o,11169
Pulau Pinang,2015,a,10421
Pulau Pinang,2015,ab,2608
Pulau Pinang,2015,b,10904
Pulau Pinang,2015,o,16980
Pulau Pinang,2016,a,10812
Pulau Pinang,2016,ab,2808
Pulau Pinang,2016,b,11591
Pulau Pinang,2016,o,17304
Pulau Pinang,2017,a,10521
Pulau Pinang,2017,ab,2619
Pulau Pinang,2017,b,11203
Pulau Pinang,2017,o,17254
Pulau Pinang,2018,a,11016
Pulau Pinang,2018,ab,2806
Pulau Pinang,2018,b,11842
Pulau Pinang,2018,o,18105
Pulau Pinang,2019,a,10885
Pulau Pinang,2019,ab,2803
Pulau Pinang,2019,b,11353
Pulau Pinang,2019,o,18407
Pulau Pinang,2020,a,9035
Pulau Pinang,2020,ab,2202
Pulau Pinang,2020,b,9807
Pulau Pinang,2020,o,15468
Pulau Pinang,2021,a,8717
Pulau Pinang,2021,ab,2077
Pulau Pinang,2021,b,9527
Pulau Pinang,2021,o,14890
Pulau Pinang,2022,a,9593
Pulau Pinang,2022,ab,2344
Pulau Pinang,2022,b,10333
Pulau Pinang,2022,o,16150
Pulau Pinang,2023,a,10235
Pulau Pinang,2023,ab,2597
Pulau Pinang,2023,b,11319
Pulau Pinang,2023,o,17482
Sabah,2006,a,633
Sabah,2006,ab,130
Sabah,2006,b,652
Sabah,2006,o,1521
Sabah,2007,a,2727
Sabah,2007,ab,633
Sabah,2007,b,3004
Sabah,2007,o,6342
Sabah,2008,a,4167
Sabah,2008,ab,960
Sabah,2008,b,4541
Sabah,2008,o,9152
Sabah,2009,a,4403
Sabah,2009,ab,957
Sabah,2009,b,4607
Sabah,2009,o,9604
Sabah,2010,a,4091
Sabah,2010,ab,948
Sabah,2010,b,4412
Sabah,2010,o,9032
Sabah,2011,a,4501
Sabah,2011,ab,1079
Sabah,2011,b,4794
Sabah,2011,o,9879
Sabah,2012,a,4818
Sabah,2012,ab,1136
Sabah,2012,b,5096
Sabah,2012,o,10283
Sabah,2013,a,4912
Sabah,2013,ab,1090
Sabah,2013,b,5159
Sabah,2013,o,11165
Sabah,2014,a,4923
Sabah,2014,ab,1105
Sabah,2014,b,5231
Sabah,2014,o,11248
Sabah,2015,a,5175
Sabah,2015,ab,1170
Sabah,2015,b,5511
Sabah,2015,o,11925
Sabah,2016,a,6512
Sabah,2016,ab,1465
Sabah,2016,b,6970
Sabah,2016,o,14322
Sabah,2017,a,7518
Sabah,2017,ab,1634
Sabah,2017,b,8221
Sabah,2017,o,16394
Sabah,2018,a,7628
Sabah,2018,ab,1599
Sabah,2018,b,8132
Sabah,2018,o,16491
Sabah,2019,a,8122
Sabah,2019,ab,1686
Sabah,2019,b,8677
Sabah,2019,o,17671
Sabah,2020,a,7576
Sabah,2020,ab,1685
Sabah,2020,b,8236
Sabah,2020,o,16572
Sabah,2021,a,6836
Sabah,2021,ab,1472
Sabah,2021,b,7538
Sabah,2021,o,15364
Sabah,2022,a,8036
Sabah,2022,ab,1750
Sabah,2022,b,8759
Sabah,2022,o,16985
Sabah,2023,a,9049
Sabah,2023,ab,1996
Sabah,2023,b,9715
Sabah,2023,o,19064
Sarawak,2006,a,35
Sarawak,2006,ab,5
Sarawak,2006,b,40
Sarawak,2006,o,41
Sarawak,2007,a,46
Sarawak,2007,ab,8
Sarawak,2007,b,52
Sarawak,2007,o,74
Sarawak,2008,a,2948
Sarawak,2008,ab,831
Sarawak,2008,b,3553
Sarawak,2008,o,5200
Sarawak,2009,a,3832
Sarawak,2009,ab,1040
Sarawak,2009,b,4459
Sarawak,2009,o,6512
Sarawak,2010,a,4033
Sarawak,2010,ab,1147
Sarawak,2010,b,4867
Sarawak,2010,o,6751
Sarawak,2011,a,3990
Sarawak,2011,ab,1091
Sarawak,2011,b,4841
Sarawak,2011,o,6620
Sarawak,2012,a,4160
Sarawak,2012,ab,1159
Sarawak,2012,b,4936
Sarawak,2012,o,6817
Sarawak,2013,a,4700
Sarawak,2013,ab,1274
Sarawak,2013,b,5684
Sarawak,2013,o,7890
Sarawak,2014,a,6856
Sarawak,2014,ab,1969
Sarawak,2014,b,8219
Sarawak,2014,o,11687
Sarawak,2015,a,9214
Sarawak,2015,ab,2636
Sarawak,2015,b,10586
Sarawak,2015,o,15042
Sarawak,2016,a,8822
Sarawak,2016,ab,2556
Sarawak,2016,b,10239
Sarawak,2016,o,14348
Sarawak,2017,a,9048
Sarawak,2017,ab,2517
Sarawak,2017,b,10420
Sarawak,2017,o,14632
Sarawak,2018,a,8959
Sarawak,2018,ab,2659
Sarawak,2018,b,10577
Sarawak,2018,o,15095
Sarawak,2019,a,9055
Sarawak,2019,ab,2650
Sarawak,2019,b,10829
Sarawak,2019,o,15033
Sarawak,2020,a,7923
Sarawak,2020,ab,2277
Sarawak,2020,b,9684
Sarawak,2020,o,14076
Sarawak,2021,a,8277
Sarawak,2021,ab,2307
Sarawak,2021,b,10286
Sarawak,2021,o,14913
Sarawak,2022,a,9565
Sarawak,2022,ab,2526
Sarawak,2022,b,11388
Sarawak,2022,o,16648
Sarawak,2023,a,9984
Sarawak,2023,ab,2499
Sarawak,2023,b,11922
Sarawak,2023,o,17188
Selangor,2006,a,941
Selangor,2006,ab,258
Selangor,2006,b,1118
Selangor,2006,o,1658
Selangor,2007,a,4497
Selangor,2007,ab,1181
Selangor,2007,b,5092
Selangor,2007,o,7414
Selangor,2008,a,4392
Selangor,2008,ab,1198
Selangor,2008,b,5015
Selangor,2008,o,7164
Selangor,2009,a,5418
Selangor,2009,ab,1458
Selangor,2009,b,5989
Selangor,2009,o,8803
Selangor,2010,a,6220
Selangor,2010,ab,1596
Selangor,2010,b,6839
Selangor,2010,o,10113
Selangor,2011,a,6441
Selangor,2011,ab,1716
Selangor,2011,b,7208
Selangor,2011,o,10582
Selangor,2012,a,6149
Selangor,2012,ab,1573
Selangor,2012,b,6812
Selangor,2012,o,9849
Selangor,2013,a,5646
Selangor,2013,ab,1437
Selangor,2013,b,6232
Selangor,2013,o,9273
Selangor,2014,a,6012
Selangor,2014,ab,1571
Selangor,2014,b,6580
Selangor,2014,o,9939
Selangor,2015,a,6183
Selangor,2015,ab,1662
Selangor,2015,b,7069
Selangor,2015,o,10295
Selangor,2016,a,6056
Selangor,2016,ab,1680
Selangor,2016,b,6900
Selangor,2016,o,10349
Selangor,2017,a,6398
Selangor,2017,ab,1707
Selangor,2017,b,7203
Selangor,2017,o,10707
Selangor,2018,a,6569
Selangor,2018,ab,1711
Selangor,2018,b,7329
Selangor,2018,o,11323
Selangor,2019,a,6842
Selangor,2019,ab,1810
Selangor,2019,b,7576
Selangor,2019,o,11836
Selangor,2020,a,7117
Selangor,2020,ab,1824
Selangor,2020,b,7794
Selangor,2020,o,12497
Selangor,2021,a,6265
Selangor,2021,ab,1502
Selangor,2021,b,6984
Selangor,2021,o,11340
Selangor,2022,a,7213
Selangor,2022,ab,1665
Selangor,2022,b,7843
Selangor,2022,o,12590
Selangor,2023,a,7473
Selangor,2023,ab,1557
Selangor,2023,b,8290
Selangor,2023,o,12810
